"Country","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb"
"BIRF y la AIF",68.6892101718745,50.4230972658376,49.5769027341624,2.30223357733861
"Bolivia",10.4801458506416,69.425,30.575,1.92007368157467
"Bosnia y Herzegovina",64.92048828125,48.245,51.755,-0.0590360925903149
"Botswana",3.97742487604327,69.446,30.554,3.27767698014147
"Brasil",25.0617162430876,86.569,13.431,1.08463813215672
"Brunei Darussalam",81.3969639468691,77.629,22.371,1.46107673789112
"Bulgaria",64.7110998526161,75.008,24.992,-0.269102082353336
"Burkina Faso",72.1912828947368,29.358,70.642,4.98415981781227
"Burundi",435.178271028037,13.032,86.968,5.70008634067739
"Cabo Verde",134.929776674938,65.732,34.268,1.87888979052915
"Camboya",92.0564128710628,23.388,76.612,3.25025074021303
"Camerún",53.3439889149796,56.374,43.626,3.67693315164019
"Canadá",4.07518823864492,81.411,18.589,1.47290288037893
"Chad",12.2917336404066,23.059,76.941,3.89908834293785
"Chile",25.1894460666519,87.564,12.436,1.47555844683509
"China",148.348833270666,59.152,40.848,2.49162820140588
"Chipre",128.708333333333,66.81,33.19,0.77031383453709
"Colombia",44.7487021180712,80.778,19.222,1.92912026786277
"Comoras",447.244477540227,28.965,71.035,2.8658559669186
"Congo, República del",15.3568462664715,66.916,33.084,3.26700441390168
"Congo, República Democrática del",37.0825923557045,44.46,55.54,4.53982452244543
"Corea, República de",529.358501289308,81.459,18.541,0.421334442612677
"Corea, República Popular Democrática de",212.190175234615,61.899,38.101,0.82779442511481
"Costa Rica",97.9130630630631,79.34,20.66,1.98274148495537
"Côte d'Ivoire",78.8340534591195,50.779,49.221,3.44846173720778
"Croacia",73.0493745532523,56.947,43.053,-0.400587697691305
"Cuba",108.999596231494,77.037,22.963,0.068028841812254
"Curacao",NA,89.145,10.855,-0.299297540611532
"Dinamarca",137.976565849012,87.874,12.126,0.629088602704045
"Djibouti",41.3684210526316,77.777,22.223,1.72390198898162
"Dominica",95.5,70.483,29.517,0.661813153617232
"Ecuador",68.7886817522951,63.821,36.179,2.00248962909365
"Egipto, República Árabe de",98.8734692852479,42.704,57.296,2.03092130898479
"El mundo árabe",37.3723656324824,58.9254188866753,41.0745811133247,2.40937804106507
"El Salvador",309.881467181467,72.023,27.977,1.55334406830393
"Emiratos Árabes Unidos",135.609110109828,86.522,13.478,1.82107565694154
"Eritrea",NA,40.08,59.92,2.74397622029314
"Eslovenia",102.96366052404,54.541,45.459,0.855189455705699
"España",93.6771974435832,80.321,19.679,0.738481167271324
"Estados pequeos de las Islas del Pacfico",38.2767445482866,38.7813441179116,61.2186558820884,2.1171380168681
"Estados pequeos del Caribe",18.1770161788317,51.1993615776132,48.8006384223868,0.906128378096099
"Estados Unidos",35.7136220923495,82.256,17.744,0.763339371824656
"Estonia",30.4112491373361,68.88,31.12,0.58496349021078
"Eswatini",66.0576162790698,23.799,76.201,1.74553277780684
"Etiopía",109.224559,20.763,79.237,4.82593017790277
"Europa Central y del Báltico",92.7891540721796,62.333782447835,37.666217552165,-0.0596309719102521
"Europa y Asia central",33.4651318902801,72.2101923266272,27.7898076733727,0.634635158107216
"Europa y Asia central (BIRF y la AIF)",19.9783003024588,66.3300142415404,33.6699857584596,0.689049699485494
"Europa y Asia central (excluido altos ingresos)",17.7575359364548,67.6359306029436,32.3640693970563,0.810819848288219
"Federación de Rusia",8.82206795315588,74.433,25.567,0.176545372635485
"Fiji",48.3570333880679,56.248,43.752,1.58797724617295
"Filipinas",357.688305329175,46.907,53.093,1.87696104447929
"Finlandia",18.1485472672831,85.382,14.618,0.199422968266274
"Frágiles y situaciones de conflicto afectados",47.1192202909152,44.5075724328654,55.4924275671346,3.19944786609105
"Francia",122.299437237519,80.444,19.556,0.480451975332608
"Gabón",8.22476423332169,89.37,10.63,3.04478422807304
"Gambia",225.30652173913,61.27,38.73,4.0478524176413
"Georgia",65.197330207495,58.632,41.368,0.647230647092237
"Ghana",130.821429199262,56.06,43.94,3.36449369189313
"Gibraltar",3371.8,100,0,-0.0296533525287643
"Granada",327.805882352941,36.272,63.728,0.822129986088672
"Grecia",83.2651823118697,79.058,20.942,0.220496953517559
"Groenlandia",0.136491655500061,86.816,13.184,0.0143933708494783
"Guam",306.977777777778,94.78,5.22,0.986937432372511
"Guatemala",152.547125793206,51.054,48.946,2.33564723328312
"Guinea",50.5222122741332,36.14,63.86,3.79794652024178
"Guinea-Bissau",66.6539473684211,43.36,56.64,3.45547607315278
